# k, P_{cc}, P_{hc,r}, P_{hc,0}
#  Realization 12
6.912255883216857910e-01 1.063056826591491699e+00 1.227892518043518066e+00 6.646531820297241211e-01
6.974714994430541992e-01 1.053098678588867188e+00 1.227501988410949707e+00 6.569160223007202148e-01
7.037312388420104980e-01 1.049422621726989746e+00 1.217181444168090820e+00 6.475927829742431641e-01
7.100222706794738770e-01 1.033204197883605957e+00 1.203630447387695312e+00 6.275307536125183105e-01
7.163255810737609863e-01 1.019417524337768555e+00 1.181173205375671387e+00 6.151296496391296387e-01
7.226014137268066406e-01 1.010461926460266113e+00 1.173493385314941406e+00 6.045107245445251465e-01
7.288721799850463867e-01 1.001498579978942871e+00 1.158315300941467285e+00 5.963881015777587891e-01
7.351884245872497559e-01 9.944419860839843750e-01 1.144140601158142090e+00 5.801560878753662109e-01
7.414690256118774414e-01 9.873513579368591309e-01 1.140081763267517090e+00 5.655705928802490234e-01
7.477109432220458984e-01 9.679253697395324707e-01 1.115928888320922852e+00 5.537937283515930176e-01
7.539890408515930176e-01 9.676783680915832520e-01 1.113243818283081055e+00 5.467483997344970703e-01
7.602919936180114746e-01 9.542819261550903320e-01 1.096457958221435547e+00 5.406898260116577148e-01
7.665897607803344727e-01 9.487067461013793945e-01 1.088310360908508301e+00 5.272505283355712891e-01
7.728743553161621094e-01 9.396154284477233887e-01 1.079404592514038086e+00 5.178981423377990723e-01
7.791499495506286621e-01 9.340156912803649902e-01 1.071928858757019043e+00 5.152171254158020020e-01
7.854521274566650391e-01 9.220123887062072754e-01 1.058288097381591797e+00 5.027216672897338867e-01
7.917414903640747070e-01 9.213499426841735840e-01 1.058997869491577148e+00 4.937831163406372070e-01
7.979945540428161621e-01 9.087801575660705566e-01 1.047131180763244629e+00 4.814929962158203125e-01
8.042516112327575684e-01 9.005475044250488281e-01 1.036918520927429199e+00 4.786537289619445801e-01
